id,Open,High,Low,Close,Adj_Close,Volume
0,12.3,12.41,12.25,12.39,9.968874,21891400
1,12.35,12.38,12.29,12.36,9.944737,22458400
2,12.4,12.43,12.33,12.42,9.993011,34634100
3,12.41,12.44,12.28,12.3,9.896462,19999600
4,12.3,12.52,12.21,12.47,10.033242,44713700
5,12.47,12.55,12.34,12.38,9.96083,22645900
6,12.38,12.5,12.38,12.47,10.033242,22243200
7,12.47,12.56,12.43,12.55,10.09761,26040400
8,12.48,12.61,12.48,12.6,10.13784,26030600
9,12.66,12.72,12.35,12.44,10.009105,40510400
10,12.53,12.57,12.46,12.5,10.05738,21079800
11,12.49,12.67,12.43,12.67,10.194161,36098900
12,12.62,12.75,12.62,12.7,10.218298,22879100
13,12.5,12.75,12.5,12.73,10.242435,34017900
14,12.61,12.69,12.38,12.38,9.96083,35733600
15,12.32,12.77,12.28,12.7,10.218298,42690200
16,12.53,12.68,12.33,12.38,9.96083,56549100
17,12.18,12.31,12.11,12.14,9.767728,62450600
18,12.14,12.18,12.06,12.11,9.743589,57334800
19,12.05,12.13,12.01,12.11,9.743589,26271600
20,12.12,12.33,12.06,12.11,9.743589,41175500
21,12.09,12.19,11.96,12,9.655085,37820800
22,12.08,12.11,12.01,12.09,9.727498,32934600
23,12.17,12.29,12.16,12.18,9.799911,36136200
24,12.12,12.22,12.12,12.17,9.791863,18993500
25,12.12,12.12,12,12.01,9.663128,26758600
26,12.02,12.09,11.93,11.98,9.638993,28965800
27,12.02,12.09,11.96,12.09,9.727498,29341500
28,12.03,12.12,11.95,11.97,9.630947,23397400
29,12,12.14,11.99,12.07,9.711407,34903800
30,12.06,12.15,12.02,12.1,9.735544,20683100
31,12.11,12.25,12.09,12.2,9.816004,23948700
32,12.22,12.53,12.22,12.48,10.041287,55529100
33,12.43,12.51,12.33,12.39,9.968874,25880900
34,12.39,12.42,12.2,12.29,9.888415,22093200
35,12.35,12.38,12.1,12.12,9.751635,24951400
36,12.17,12.17,11.91,11.99,9.647038,40053500
37,12,12.01,11.94,11.96,9.622901,20627000
38,11.91,11.91,11.69,11.91,9.58267,39904200
39,11.96,12,11.89,11.91,9.58267,25775700
40,11.91,12,11.88,11.88,9.558534,19875000
41,11.92,11.93,11.71,11.89,9.566579,39911300
42,11.89,12.05,11.88,12.01,9.663128,26094000
43,12.02,12.03,11.9,11.97,9.630947,18116000
44,11.93,12.04,11.85,12.02,9.671175,24364200
45,12.06,12.2,12.06,12.19,9.807957,33733600
46,12.05,12.1,11.76,11.85,9.653179,42486000
47,11.8,11.93,11.76,11.88,9.677618,36219900
48,11.81,11.83,11.6,11.74,9.563574,48402000
49,11.74,11.85,11.63,11.72,9.54728,37142400
50,11.75,11.81,11.69,11.74,9.563574,31898400
51,11.78,11.84,11.5,11.61,9.457671,35613600
52,11.51,11.56,11.36,11.4,9.286604,36229400
53,11.39,11.46,11.27,11.35,9.245872,38651500
54,11.31,11.5,11.3,11.34,9.237725,24752400
55,11.52,11.62,11.39,11.58,9.433235,25120700
56,11.5,11.51,11.35,11.48,9.351772,28497900
57,11.15,11.63,11.07,11.58,9.433235,60625700
58,11.58,11.98,11.58,11.94,9.726494,52756500
59,11.88,12.4,11.84,12.28,10.003464,79259300
60,12.27,12.5,12.02,12.06,9.82425,56109900
61,12.06,12.14,11.95,12.04,9.807958,31498500
62,12,12.05,11.92,12,9.775372,25195500
63,11.9,11.96,11.78,11.87,9.669472,38502500
64,11.87,11.9,11.73,11.76,9.579865,30662000
65,11.77,11.9,11.77,11.79,9.604302,19508600
66,11.76,11.91,11.73,11.89,9.685764,24274700
67,11.9,12,11.85,11.9,9.69391,22414000
68,11.95,12.06,11.93,12.04,9.807958,11439600
69,12.02,12.05,11.89,11.92,9.710204,24407200
70,11.93,12,11.87,11.92,9.710204,23690800
71,11.97,12.14,11.92,11.96,9.742787,47646200
72,12.23,12.8,12.18,12.43,10.125656,95143600
73,12.58,12.58,12.15,12.24,9.97088,38689800
74,12.31,12.5,12.29,12.44,10.133801,36220000
75,12.4,12.59,12.37,12.56,10.231556,23923900
76,12.59,13.15,12.54,13.06,10.638864,58600400
77,13.07,13.15,12.97,13.03,10.614423,41459500
78,13,13.2,12.91,13.17,10.728472,45256100
79,13.08,13.1,12.81,12.82,10.443356,39596800
80,12.84,12.88,12.75,12.77,10.402627,39570500
81,12.65,12.79,12.5,12.53,10.207117,42820100
82,12.54,12.72,12.52,12.58,10.247848,23774800
83,12.66,12.7,12.56,12.63,10.288578,28354900
84,12.59,12.8,12.59,12.66,10.313017,22830000
85,12.7,12.82,12.68,12.78,10.410771,17834000
86,12.73,12.77,12.64,12.64,10.296725,18117100
87,12.63,12.64,12.4,12.4,10.101216,27821100
88,12.43,12.46,12.36,12.46,10.150093,15621200
89,12.43,12.51,12.36,12.39,10.093071,19467400
90,12.37,12.45,12.22,12.25,9.979024,26875400
91,12.25,12.31,12.22,12.23,9.962733,19819100
92,12.24,12.28,12.08,12.13,9.88127,27405700
93,12.2,12.6,12.13,12.59,10.255995,40510800
94,12.77,13.27,12.74,13.17,10.728472,77638100
95,13.21,13.22,12.63,12.77,10.402627,75628400
96,12.8,12.84,12.64,12.76,10.39448,40315900
97,12.79,12.86,12.63,12.63,10.288578,39438400
98,12.7,13.02,12.66,12.85,10.467794,58703500
99,12.71,12.72,12.51,12.67,10.321165,49718700
100,12.66,12.68,12.35,12.59,10.255995,36493300
101,12.62,12.67,12.5,12.63,10.288578,29197100
102,12.65,12.73,12.54,12.61,10.272288,49069500
103,12.43,12.45,12.3,12.41,10.272288,33830800
104,12.4,12.56,12.34,12.43,10.288842,30135600
105,12.45,12.48,12.31,12.36,10.2309,29270000
106,12.35,12.38,12.22,12.31,10.189513,31670700
107,12.35,12.61,12.34,12.61,10.437836,34625200
108,12.71,12.8,12.64,12.79,10.586829,46747800
109,12.65,12.68,12.35,12.37,10.239177,55672800
110,12.48,12.54,12.38,12.49,10.338505,34613900
111,12.46,12.46,12.28,12.37,10.239177,39254200
112,12.31,12.39,12.19,12.36,10.2309,46974500
113,12.45,12.58,12.22,12.32,10.19779,44396800
114,12.3,12.37,12.23,12.28,10.16468,29035400
115,12.42,12.62,12.39,12.56,10.396448,38245300
116,12.55,12.62,12.46,12.52,10.363338,26916800
117,12.5,12.52,12.31,12.34,10.214345,32914400
118,12.34,12.45,12.27,12.38,10.247454,26411400
119,12.38,12.47,12.35,12.38,10.247454,32924600
120,12.44,12.51,12.37,12.51,10.35506,32996500
121,12.54,12.62,12.48,12.56,10.396448,24474000
122,12.64,12.7,12.59,12.65,10.470943,28355700
123,12.62,12.64,12.55,12.63,10.454391,25114400
124,12.61,12.64,12.48,12.54,10.379891,22896500
125,12.5,12.58,12.42,12.58,10.413003,26407400
126,12.61,12.72,12.61,12.69,10.504054,29156200
127,12.66,12.77,12.65,12.67,10.487501,24787500
128,12.7,12.72,12.55,12.56,10.396448,22520600
129,12.51,12.51,12.38,12.47,10.321951,40817300
130,12.49,12.68,12.43,12.66,10.479222,41713100
131,12.63,12.66,12.45,12.53,10.371616,36089800
132,12.66,12.75,12.65,12.69,10.504054,36178600
133,12.72,12.75,12.58,12.66,10.479222,33245100
134,12.66,12.71,12.53,12.65,10.470943,30429200
135,12.58,12.6,12.5,12.52,10.363338,28753600
136,12.51,12.53,12.42,12.46,10.313674,25906900
137,12.5,12.64,12.46,12.53,10.371616,27327800
138,12.54,12.54,12.4,12.5,10.346782,29149100
139,12.55,12.63,12.47,12.53,10.371616,34866100
140,12.56,12.63,12.5,12.54,10.379891,22625800
141,12.51,12.56,12.45,12.55,10.38817,26956700
142,12.56,12.65,12.52,12.65,10.470943,34296200
143,12.65,12.72,12.59,12.7,10.512331,28954700
144,12.74,12.74,12.45,12.48,10.330228,54929100
145,12.48,12.49,12.25,12.28,10.16468,45329700
146,12.3,12.32,11.7,11.72,9.701144,101559900
147,11.72,11.83,11.62,11.77,9.742534,71107900
148,11.57,11.75,11.5,11.67,9.659759,71209300
149,11.66,11.77,11.55,11.62,9.618369,43772400
150,11.51,11.55,11.41,11.46,9.485932,57713400
151,11.51,11.8,11.48,11.65,9.643203,57662800
152,11.73,11.76,11.64,11.68,9.668035,35795700
153,11.67,11.74,11.61,11.68,9.668035,28008200
154,11.66,11.68,11.6,11.64,9.634925,26717500
155,11.64,11.64,11.28,11.44,9.469376,65671100
156,11.38,11.48,11.28,11.37,9.411435,40068200
157,11.48,11.5,11.25,11.26,9.320382,43316100
158,11.27,11.36,11.22,11.27,9.32866,36165300
