id,Open,High,Low,Close,Adj_Close,Volume
0,10.3,10.38,10.3,10.34,9.639102,14200
1,10.28,10.48,10.23,10.3,9.601813,22500
2,10.43,10.49,10.39,10.45,9.741645,39100
3,10.41,10.46,10.35,10.4,9.695035,29100
4,10.2,10.21,10.13,10.17,9.480625,90100
5,10.33,10.43,10.21,10.27,9.573847,62000
6,10.02,10.3,10.02,10.26,9.564524,281700
7,10.15,10.15,10.01,10.06,9.378081,45200
8,10.06,10.14,10.04,10.11,9.424692,21100
9,10.08,10.15,10.04,10.07,9.387403,154400
10,10.21,10.44,10.21,10.38,9.67639,28800
11,10.48,10.48,10.27,10.35,9.648424,80600
12,10.21,10.27,10.15,10.19,9.499268,107900
13,9.99,10.01,9.9,9.94,9.266215,39700
14,9.9,9.9,9.53,9.58,8.930617,65600
15,9.42,9.65,9.39,9.59,8.939939,48300
16,9.57,9.59,9.44,9.48,8.837398,24100
17,9.54,9.62,9.54,9.57,8.921297,6900
18,9.58,9.68,9.56,9.68,9.02384,1158500
19,9.51,9.53,9.43,9.48,8.837398,52000
20,9.69,9.69,9.54,9.63,8.977229,18900
21,9.57,9.57,9.44,9.5,8.856042,114000
22,9.38,9.48,9.35,9.48,8.837398,60100
23,9.61,9.69,9.53,9.56,8.911974,74400
24,9.4,9.43,9.32,9.36,8.72553,41600
25,9.23,9.26,9.19,9.23,8.604342,46700
26,9.15,9.26,9.15,9.26,8.63231,113800
27,9.29,9.36,9.26,9.34,8.706887,255900
28,9.18,9.22,9.11,9.15,8.529766,32700
29,9.24,9.34,9.24,9.32,8.688243,82900
30,9.42,9.47,9.4,9.44,8.800108,48000
31,9.69,9.72,9.59,9.59,8.939939,52400
32,9.56,9.59,9.54,9.58,8.930617,41600
33,9.57,9.61,9.54,9.55,8.902652,16800
34,9.58,9.64,9.56,9.64,8.986551,24500
35,9.73,9.73,9.69,9.71,9.051805,73800
36,9.55,9.55,9.33,9.36,8.72553,51000
37,9.29,9.31,9.1,9.2,8.576377,64900
38,9.09,9.23,9.08,9.21,8.585699,55600
39,9.27,9.33,9.26,9.31,8.678921,30700
40,9.37,9.57,9.35,9.55,8.902652,2987400
41,9.45,9.54,9.45,9.45,8.80943,1425200
42,9.27,9.51,9.27,9.48,8.893867,34400
43,9.44,9.55,9.42,9.54,8.950156,306500
44,9.34,9.45,9.33,9.43,8.846957,184200
45,9.31,9.37,9.22,9.26,8.687468,311100
46,9.2,9.2,9.13,9.18,8.612414,19900
47,9.03,9.24,9.03,9.15,8.58427,199200
48,9.12,9.22,9.09,9.21,8.640561,64400
49,8.94,9.09,8.94,9.05,8.490453,86700
50,8.99,9.08,8.81,8.85,8.302818,221400
51,9.02,9.06,8.98,9.06,8.499833,152800
52,8.97,9.06,8.95,9,8.443542,23100
53,8.94,9.04,8.92,8.98,8.424779,43600
54,9.06,9.09,9.02,9.02,8.462307,21300
55,9.18,9.18,9.07,9.1,8.53736,42200
56,9.05,9.12,8.96,9.07,8.509215,24900
57,9.52,9.6,9.47,9.52,8.931393,234300
58,9.72,9.85,9.7,9.77,9.165936,78900
59,9.44,9.47,9.37,9.41,8.828194,77800
60,9.44,9.44,9.35,9.41,8.828194,37500
61,9.46,9.55,9.35,9.54,8.950156,276800
62,9.28,9.33,9.23,9.3,8.724996,44000
63,8.83,8.98,8.74,8.79,8.246527,138100
64,8.34,8.34,8.12,8.23,7.72115,340700
65,8.27,8.35,8.24,8.35,7.833733,97000
66,8.3,8.35,8.26,8.33,7.814968,155900
67,8.37,8.44,8.31,8.44,7.918166,116000
68,8.39,8.42,8.38,8.42,7.899404,6300
69,8.42,8.47,8.4,8.42,7.899404,36800
70,8.44,8.52,8.44,8.48,7.955694,88700
71,8.61,8.61,8.49,8.51,7.98384,137300
72,8.64,8.68,8.58,8.63,8.096419,56300
73,8.38,8.56,8.33,8.44,7.918166,72500
74,8.55,8.57,8.49,8.56,8.030746,101800
75,8.53,8.53,8.44,8.46,7.93693,506800
76,8.45,8.57,8.42,8.56,8.030746,81900
77,8.45,8.45,8.3,8.33,7.814968,59700
78,8.33,8.49,8.33,8.48,7.955694,182800
79,8.36,8.37,8.28,8.34,7.824349,111700
80,8.6,8.74,8.6,8.69,8.15271,158800
81,8.78,8.78,8.52,8.52,7.993222,108900
82,8.39,8.48,8.35,8.48,7.955694,65900
83,8.5,8.53,8.47,8.51,7.98384,104000
84,8.38,8.48,8.35,8.4,7.88064,82600
85,8.39,8.47,8.39,8.42,7.899404,131300
86,8.5,8.57,8.48,8.56,8.030746,63700
87,8.46,8.49,8.42,8.47,7.946313,52800
88,8.54,8.54,8.34,8.43,7.908785,44800
89,8.34,8.51,8.34,8.44,7.918166,45700
90,8.43,8.48,8.39,8.45,7.927549,86700
91,8.32,8.36,8.3,8.36,7.843114,71800
92,8.36,8.36,8.22,8.26,7.749298,241400
93,8.23,8.28,8.23,8.26,7.749298,71300
94,8.19,8.31,8.16,8.3,7.786823,67400
95,7.98,8.18,7.93,8.14,7.636717,1305200
96,8.04,8.21,7.9,8.19,7.683624,1275200
97,8.06,8.15,7.98,8.13,7.627334,2694000
98,8.21,8.25,8.17,8.23,7.72115,82000
99,8.19,8.27,8.14,8.26,7.749298,218700
100,8.45,8.45,8.33,8.39,7.87126,88800
101,8.15,8.19,8.12,8.16,7.655479,162900
102,8.81,8.83,8.7,8.72,8.180856,169000
103,8.66,8.67,8.59,8.6,8.068275,184100
104,8.69,8.75,8.63,8.69,8.15271,306300
105,8.55,8.58,8.49,8.56,8.030746,95300
106,8.65,8.74,8.58,8.74,8.199618,61600
107,8.61,8.62,8.51,8.62,8.087038,108500
108,8.78,8.78,8.67,8.76,8.218383,357600
109,8.67,8.78,8.66,8.78,8.237145,121900
110,8.75,8.75,8.64,8.66,8.124565,74500
111,8.45,8.48,8.3,8.33,7.814968,151300
112,8.43,8.51,8.43,8.49,7.965075,95300
113,8.59,8.59,8.47,8.56,8.030746,69400
114,8.57,8.59,8.53,8.58,8.049512,151300
115,8.43,8.53,8.37,8.52,7.993222,144600
116,8.59,8.64,8.54,8.63,8.096419,98100
117,8.71,8.92,8.71,8.92,8.368491,121600
118,9.16,9.18,9.1,9.14,8.574887,151800
119,9.01,9.14,9.01,9.11,8.546742,39600
120,9.24,9.36,9.24,9.3,8.724996,80700
121,9.33,9.45,9.31,9.43,8.846957,70900
122,9.05,9.14,8.97,9.04,8.48107,205100
123,8.94,8.99,8.88,8.95,8.396635,177400
